,name,category,description,unlock,effect,sun_cost,recharge,sun_cost_remark,recharge_remark
142,Boom Balloon Flower,Seed Packets,Boom Balloon Flowers spawn exploding balloons that can be placed anywhere on the lawn as traps for zombies.,Price: 250 seed packets,"Summons a large Doom-shroom balloon that explodes when it reaches the fifth column, dealing heavy damage in a large area, then she must recharge.",350,5.0,,
143,Pea Vine,Seed Packets,Pea Vines planted on top of Appease-mint Family plants provide a significant damage boost to those plants.,Price: 250 seed packets,"Fires a barrage of peas down its lane, and activates the Plant Food Effect of the plant within it.",125,5.0,,
144,Inferno,Seed Packets,"Infernos swirl up devastating fire tornados that sweep zombies back, burning and damaging them.",Price: 250 seed packets,Makes a stronger fire tornado which can also attract zombies from other lanes.,200,25.0,,
145,Solar Sage,Seed Packets,"Solar Sages illuminate zombies, causing them to make better choices and depart, leaving behind a trail of sun.",Price: 250 seed packets,"Illuminates all zombies in a 3x3 area, or gives sun if there are no vaild zombies.",0,20.0,,
146,Power Vine,Seed Packets,"Power Vines shoot rapid-fire, high-velocity laser bolts, and can increase their firepower by connecting up in a network.",Price: 250 seed packets,"Disables mechanical enemies and sprays wide waves of eleven laser bolts. When he networks on another Power Vine, he sprays wide waves of eleven laser bolts three times. Activates the Plant Food Effect of the plant within him.",150,5.0,,
147,Noctarine,Seed Packets,Noctarines are shadow plants that explode and create clouds of damaging gas.,Price: 250 seed packets,N/A,150,15.0,,
148,Heath Seeker,Seed Packets,"Heath Seekers are Spear-mint family instant-use plants that burst into a storm of homing, piercing darts.",Price: 250 seed packets,N/A,125,20.0,,
149,Iceweed,Seed Packets,Iceweeds damage and chill zombies that walk over them.,Price: 250 seed packets,"Summons a sawblade that is then fired down the lane, freezing all zombies it reaches and moving them to the back of the lane. He will also deal 2x damage permanently, until he is destroyed.",150,5.0,,
150,Teleportato Mine,Seed Packets,"Teleportato Mine teleports zombies to her location, then explodes.",Price: 250 seed packets,N/A,75,20.0,,
151,Tiger Grass,Seed Packets,Tiger Grass spawns a grass tiger who leaps out to attack nearby zombies.,Price: 250 seed packets,Spawns a fully grown grass tiger which deals a large amount of damage to the first zombie it encounters.,150,7.0,,
152,Blockoli,Seed Packets,"Blockoli dual-wields two sturdy floret shields, slamming them down to stun and block approaching zombies.",Price: 250 seed packets,"Swings his florets around, dealing 285 damage per shot and stunning Zombies in a 3x3 area around him and gains two iron shields, absorbing 8000 DPS in total.",150,15.0,,
153,Buttercup,Seed Packets,"Buttercup butters butter onto attacking zombies, stunning them with butter. Butter!",Price: 250 seed packets,"Throw butter into her own tile and the three columns tiles in front of her, dealing 150 DPS to zombies, stunning them with butter for 12 seconds, and leaving butter puddles that last for 150 seconds.",25,10.0,,
154,Fila-mint,Power Mints,Fila-mints do electric damage and provide a temporary boost to all Fila-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
155,Pepper-mint,Power Mints,Pepper-mints set off lane-wide bursts of flame when planted and provide a temporary boost to all Pepper-mint plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
156,Winter-mint,Power Mints,Winter-mints chill all zombies present on the board when planted and provide a temporary boost to all Winter-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
157,Enlighten-mint,Power Mints,"Enlighten-mints give a burst of sun when planted, and provide and additional temporary boost to Enlighten-mint Family plants.",Price: 100 seed packets,N/A,0,85.0,,
158,Reinforce-mint,Power Mints,Reinforce-mints push all zombies back and provide a temporary boost to all Reinforce-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
159,Bombard-mint,Power Mints,Bombard-mints set off a number of explosions on the board and provide a temporary boost to all Bombard-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
160,Ail-mint,Power Mints,Ail-mints poison all zombies when planted and provide a temporary boost to all Ail-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
161,Enchant-mint,Power Mints,Enchant-mints randomly hypnotize a number of zombies and provide a temporary boost to all Enchant-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
162,Contain-mint,Power Mints,Contain-mints stun all zombies on the board and provide a temporary boost to all Contain-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
163,Enforce-mint,Power Mints,Enforce-mints shrink a number of zombies when planted and provide a temporary boost to all Enforce-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
164,Arma-mint,Power Mints,Arma-mints launch a volley of heavy stunning projectiles and provide a temporary boost to all Arma-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
165,Conceal-mint,Power Mints,"Conceal-mints power up all shadow plants on the lawn, drag some number of zombies to their doom, and provide an additional temporary boost to Conceal-mint Family plants.",Price: 100 mints,N/A,0,85.0,,
166,Spear-mint,Power Mints,Spear-mints generate a number of higher level Spikerocks and provide a temporary boost all Spear-mint family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
167,Appease-mint,Power Mints,Appease-mints fire a volley of huge peas that break into smaller peas and provide a temporary boost to all Appease-mint Family plants on the lawn.,Price: 100 mints,N/A,0,85.0,,
168,Marigold,Zen Garden,Marigolds give you coins in Zen Garden.,Price: Getting the first sprout,N/A,-1,-1.0,0 (unusable on the lawn),N/A
